sample-id	biosample_accession	biospecimen_repository_sample_id	bodysite	description	dna_extracted	elevation	empo_1	empo_2	empo_3	empo_4	env	env_biome	env_feature	env_material	env_package	geo_loc_name	host_body_habitat	host_body_product	host_body_site	host_common_name	host_scientific_name	host_subject_id	host_taxid	latitude	longitude	physical_specimen_location	physical_specimen_remaining	psn	public	qiita_study_id	sample_type	sample_type_qiita	scientific_name	sequencecenter	taxon_id	title
1927.SRS011177.SRX020661.SRR047461	SAMN00032614	700014997	L_Retroauricular_crease	HMP_SRS011177.SRX020661.SRR047461	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal surface (non-saline)	Skin	urban biome	human-associated habitat	sebum	human-skin	USA	UBERON:skin	UBERON:sebum	UBERON:skin of external ear	human	Homo sapiens	158822939	9606	39	-77	HMPDAC	FALSE	700014997	TRUE	1927	L_Retroauricular_crease	skin	human skin metagenome	WUGSC	539655	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011179.SRX020515.SRR045376	SAMN00032616	700015000	R_Retroauricular_crease	HMP_SRS011179.SRX020515.SRR045376	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal surface (non-saline)	Skin	urban biome	human-associated habitat	sebum	human-skin	USA	UBERON:skin	UBERON:sebum	UBERON:skin of external ear	human	Homo sapiens	158822939	9606	39	-77	HMPDAC	FALSE	700015000	TRUE	1927	R_Retroauricular_crease	skin	human skin metagenome	WUGSC	539655	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011179.SRX020537.SRR045397	SAMN00032616	700015000	R_Retroauricular_crease	HMP_SRS011179.SRX020537.SRR045397	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal surface (non-saline)	Skin	urban biome	human-associated habitat	sebum	human-skin	USA	UBERON:skin	UBERON:sebum	UBERON:skin of external ear	human	Homo sapiens	158822939	9606	39	-77	HMPDAC	FALSE	700015000	TRUE	1927	R_Retroauricular_crease	skin	human skin metagenome	WUGSC	539655	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011179.SRX020570.SRR045464	SAMN00032616	700015000	R_Retroauricular_crease	HMP_SRS011179.SRX020570.SRR045464	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal surface (non-saline)	Skin	urban biome	human-associated habitat	sebum	human-skin	USA	UBERON:skin	UBERON:sebum	UBERON:skin of external ear	human	Homo sapiens	158822939	9606	39	-77	HMPDAC	FALSE	700015000	TRUE	1927	R_Retroauricular_crease	skin	human skin metagenome	WUGSC	539655	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011180.SRX020537.SRR045391	SAMN00032617	700015003	L_Antecubital_fossa	HMP_SRS011180.SRX020537.SRR045391	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal surface (non-saline)	Skin	urban biome	human-associated habitat	sebum	human-skin	USA	UBERON:skin	UBERON:sebum	UBERON:skin of elbow	human	Homo sapiens	158822939	9606	39	-77	HMPDAC	FALSE	700015003	TRUE	1927	L_Antecubital_fossa	skin	human skin metagenome	WUGSC	539655	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011180.SRX020570.SRR045459	SAMN00032617	700015003	L_Antecubital_fossa	HMP_SRS011180.SRX020570.SRR045459	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal surface (non-saline)	Skin	urban biome	human-associated habitat	sebum	human-skin	USA	UBERON:skin	UBERON:sebum	UBERON:skin of elbow	human	Homo sapiens	158822939	9606	39	-77	HMPDAC	FALSE	700015003	TRUE	1927	L_Antecubital_fossa	skin	human skin metagenome	WUGSC	539655	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011181.SRX020537.SRR045389	SAMN00032618	700015006	R_Antecubital_fossa	HMP_SRS011181.SRX020537.SRR045389	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal surface (non-saline)	Skin	urban biome	human-associated habitat	sebum	human-skin	USA	UBERON:skin	UBERON:sebum	UBERON:skin of elbow	human	Homo sapiens	158822939	9606	39	-77	HMPDAC	FALSE	700015006	TRUE	1927	R_Antecubital_fossa	skin	human skin metagenome	WUGSC	539655	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011181.SRX020570.SRR045457	SAMN00032618	700015006	R_Antecubital_fossa	HMP_SRS011181.SRX020570.SRR045457	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal surface (non-saline)	Skin	urban biome	human-associated habitat	sebum	human-skin	USA	UBERON:skin	UBERON:sebum	UBERON:skin of elbow	human	Homo sapiens	158822939	9606	39	-77	HMPDAC	FALSE	700015006	TRUE	1927	R_Antecubital_fossa	skin	human skin metagenome	WUGSC	539655	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011182.SRX020537.SRR045378	SAMN00032619	700015009	Anterior_nares	HMP_SRS011182.SRX020537.SRR045378	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	Skin	urban biome	human-associated habitat	mucus	human-associated	USA	UBERON:respiratory system	UBERON:mucus	UBERON:nose	human	Homo sapiens	158822939	9606	39	-77	HMPDAC	FALSE	700015009	TRUE	1927	anterior nares	nares	human nasopharyngeal metagenome	WUGSC	1131769	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011182.SRX020570.SRR045449	SAMN00032619	700015009	Anterior_nares	HMP_SRS011182.SRX020570.SRR045449	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	Skin	urban biome	human-associated habitat	mucus	human-associated	USA	UBERON:respiratory system	UBERON:mucus	UBERON:nose	human	Homo sapiens	158822939	9606	39	-77	HMPDAC	FALSE	700015009	TRUE	1927	anterior nares	nares	human nasopharyngeal metagenome	WUGSC	1131769	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011271.SRX020659.SRR045051	SAMN00032708	700015250	Stool	HMP_SRS011271.SRX020659.SRR045051	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	Stool	urban biome	human-associated habitat	feces	human-gut	USA	UBERON:feces	UBERON:feces	UBERON:feces	human	Homo sapiens	158802708	9606	39	-77	HMPDAC	FALSE	700015250	TRUE	1927	Stool	feces	human gut metagenome	WUGSC	408170	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011271.SRX020661.SRR044827	SAMN00032708	700015250	Stool	HMP_SRS011271.SRX020661.SRR044827	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	Stool	urban biome	human-associated habitat	feces	human-gut	USA	UBERON:feces	UBERON:feces	UBERON:feces	human	Homo sapiens	158802708	9606	39	-77	HMPDAC	FALSE	700015250	TRUE	1927	Stool	feces	human gut metagenome	WUGSC	408170	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011273.SRX020659.SRR045049	SAMN00032710	700015260	Saliva	HMP_SRS011273.SRX020659.SRR045049	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	Oral	urban biome	human-associated habitat	saliva	human-oral	USA	UBERON:saliva	UBERON:saliva	UBERON:saliva	human	Homo sapiens	158802708	9606	39	-77	HMPDAC	FALSE	700015260	TRUE	1927	Saliva	saliva	human oral metagenome	WUGSC	447426	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011273.SRX020661.SRR044825	SAMN00032710	700015260	Saliva	HMP_SRS011273.SRX020661.SRR044825	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	Oral	urban biome	human-associated habitat	saliva	human-oral	USA	UBERON:saliva	UBERON:saliva	UBERON:saliva	human	Homo sapiens	158802708	9606	39	-77	HMPDAC	FALSE	700015260	TRUE	1927	Saliva	saliva	human oral metagenome	WUGSC	447426	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011275.SRX020659.SRR044995	SAMN00032712	700015265	Tongue_dorsum	HMP_SRS011275.SRX020659.SRR044995	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	Oral	urban biome	human-associated habitat	saliva	human-oral	USA	UBERON:oral cavity	UBERON:saliva	UBERON:tongue	human	Homo sapiens	158802708	9606	39	-77	HMPDAC	FALSE	700015265	TRUE	1927	Tongue_dorsum	tongue	human oral metagenome	WUGSC	447426	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011275.SRX020661.SRR044769	SAMN00032712	700015265	Tongue_dorsum	HMP_SRS011275.SRX020661.SRR044769	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	Oral	urban biome	human-associated habitat	saliva	human-oral	USA	UBERON:oral cavity	UBERON:saliva	UBERON:tongue	human	Homo sapiens	158802708	9606	39	-77	HMPDAC	FALSE	700015265	TRUE	1927	Tongue_dorsum	tongue	human oral metagenome	WUGSC	447426	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011277.SRX020515.SRR045360	SAMN00032714	700015268	Hard_palate	HMP_SRS011277.SRX020515.SRR045360	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	Oral	urban biome	human-associated habitat	saliva	human-oral	USA	UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	human	Homo sapiens	158802708	9606	39	-77	HMPDAC	FALSE	700015268	TRUE	1927	Hard_palate	hard palate	human oral metagenome	WUGSC	447426	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011277.SRX020571.SRR045480	SAMN00032714	700015268	Hard_palate	HMP_SRS011277.SRX020571.SRR045480	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	Oral	urban biome	human-associated habitat	saliva	human-oral	USA	UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	human	Homo sapiens	158802708	9606	39	-77	HMPDAC	FALSE	700015268	TRUE	1927	Hard_palate	hard palate	human oral metagenome	WUGSC	447426	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011279.SRX020661.SRR047466	SAMN00032716	700015271	Buccal_mucosa	HMP_SRS011279.SRX020661.SRR047466	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	Oral	urban biome	human-associated habitat	saliva	human-oral	USA	UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	human	Homo sapiens	158802708	9606	39	-77	HMPDAC	FALSE	700015271	TRUE	1927	buccal mucosa	buccal mucosa	human oral metagenome	WUGSC	447426	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011279.SRX020662.SRR045406	SAMN00032716	700015271	Buccal_mucosa	HMP_SRS011279.SRX020662.SRR045406	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	Oral	urban biome	human-associated habitat	saliva	human-oral	USA	UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	human	Homo sapiens	158802708	9606	39	-77	HMPDAC	FALSE	700015271	TRUE	1927	buccal mucosa	buccal mucosa	human oral metagenome	WUGSC	447426	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011279.SRX020664.SRR045429	SAMN00032716	700015271	Buccal_mucosa	HMP_SRS011279.SRX020664.SRR045429	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	Oral	urban biome	human-associated habitat	saliva	human-oral	USA	UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	human	Homo sapiens	158802708	9606	39	-77	HMPDAC	FALSE	700015271	TRUE	1927	buccal mucosa	buccal mucosa	human oral metagenome	WUGSC	447426	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011281.SRX020663.SRR045160	SAMN00032718	700015274	Attached_Keratinized_gingiva	HMP_SRS011281.SRX020663.SRR045160	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	Oral	urban biome	human-associated habitat	saliva	human-oral	USA	UBERON:oral cavity	UBERON:saliva	UBERON:gingiva	human	Homo sapiens	158802708	9606	39	-77	HMPDAC	FALSE	700015274	TRUE	1927	attached keratinized gingiva	gingival swab	human oral metagenome	WUGSC	447426	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011281.SRX020667.SRR045239	SAMN00032718	700015274	Attached_Keratinized_gingiva	HMP_SRS011281.SRX020667.SRR045239	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	Oral	urban biome	human-associated habitat	saliva	human-oral	USA	UBERON:oral cavity	UBERON:saliva	UBERON:gingiva	human	Homo sapiens	158802708	9606	39	-77	HMPDAC	FALSE	700015274	TRUE	1927	attached keratinized gingiva	gingival swab	human oral metagenome	WUGSC	447426	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011283.SRX020659.SRR045032	SAMN00032720	700015277	Palatine_Tonsils	HMP_SRS011283.SRX020659.SRR045032	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	Oral	urban biome	human-associated habitat	saliva	human-oral	USA	UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	human	Homo sapiens	158802708	9606	39	-77	HMPDAC	FALSE	700015277	TRUE	1927	Palatine_Tonsils	palatine tonsil	human oral metagenome	WUGSC	447426	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011283.SRX020661.SRR047464	SAMN00032720	700015277	Palatine_Tonsils	HMP_SRS011283.SRX020661.SRR047464	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	Oral	urban biome	human-associated habitat	saliva	human-oral	USA	UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	human	Homo sapiens	158802708	9606	39	-77	HMPDAC	FALSE	700015277	TRUE	1927	Palatine_Tonsils	palatine tonsil	human oral metagenome	WUGSC	447426	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011285.SRX020571.SRR045492	SAMN00032722	700015280	Throat	HMP_SRS011285.SRX020571.SRR045492	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	Oral	urban biome	human-associated habitat	saliva	human-oral	USA	UBERON:oral cavity	UBERON:mucus	UBERON:throat	human	Homo sapiens	158802708	9606	39	-77	HMPDAC	FALSE	700015280	TRUE	1927	Throat	throat	human oral metagenome	WUGSC	447426	"Structure, function and diversity of the healthy human microbiome (V13)"
1927.SRS011285.SRX020663.SRR045169	SAMN00032722	700015280	Throat	HMP_SRS011285.SRX020663.SRR045169	TRUE	97	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	Oral	urban biome	human-associated habitat	saliva	human-oral	USA	UBERON:oral cavity	UBERON:mucus	UBERON:throat	human	Homo sapiens	158802708	9606	39	-77	HMPDAC	FALSE	700015280	TRUE	1927	Throat	throat	human oral metagenome	WUGSC	447426	"Structure, function and diversity of the healthy human microbiome (V13)"
