1f6f58e2e7aae5110e022b36249d8435,NR_153710,4.19e-165,580,99,85.328,Peptococcus simiae
80077ef74431f08a467c5725cde09517,NR_153710,4.19e-165,580,99,85.603,Peptococcus simiae
a7a34f85f358adde17fc9933dcf951b9,NR_153710,1.67e-157,555,99,84.961,Peptococcus simiae
fe65794f7cf317c03fd32da2a15fe204,NR_153710,4.19e-165,580,99,85.603,Peptococcus simiae
eab3746454f6f8c72e7bb343120d6313,NR_153710,6.21e-163,572,98,85.490,Peptococcus simiae
2739bf30aa6ea70b3773c43407cc4b6e,NR_153710,5.10e-164,577,99,85.300,Peptococcus simiae
3a00d406b79b8d018d4bd4f824092437,NR_153710,7.57e-162,570,98,85.185,Peptococcus simiae
2bbba7f3865c283b9e770e7144162fa4,NR_153710,4.19e-165,580,99,85.603,Peptococcus simiae
7efc14604b696f2b86ef58f6abffcee6,NR_153710,5.10e-164,577,99,85.300,Peptococcus simiae
5aea0a3b59d367c2ccf2352f97d84a42,NR_153710,1.78e-163,574,98,85.380,Peptococcus simiae
9a37d069a92525f3f0c111d0d8ec7db9,NR_153710,1.20e-165,581,99,85.493,Peptococcus simiae
05c1a0a9b6b70e3cbc70f2a1a326c7cf,NR_153710,1.78e-163,574,99,84.942,Peptococcus simiae
b602b2d4c758134acdceb12600bd8a21,NR_153710,3.44e-166,583,98,85.770,Peptococcus simiae
172e4d9c239c6a9e7fe2ec099d36742e,NR_153710,7.57e-162,570,98,84.990,Peptococcus simiae
65085cfabe54a973081d08f3a89a63fc,NR_180825,8.64e-155,545,92,87.699,Roseburia porci
65085cfabe54a973081d08f3a89a63fc,NR_180825,0.009,41.0,92,83.784,Roseburia porci
7f18127717a5b54665397fd4a26e13c1,NR_153710,4.47e-171,600,99,86.074,Peptococcus simiae
3797dec622a4a7e960d58903530742ee,NR_153710,6.63e-169,592,99,85.577,Peptococcus simiae
adc9a32616b60729601c09b9d913ae8f,NR_153710,3.44e-166,583,99,85.328,Peptococcus simiae
9b6f37ead4af8e41596258f93bcaee0f,NR_153710,3.44e-166,584,99,85.521,Peptococcus simiae
a656341ef452af51ff5397a3d53c3ca7,NR_153710,7.57e-162,570,99,85.164,Peptococcus simiae
05d6eeaa2b1b41d64d4fa0f2c01be92e,NR_153710,2.17e-162,571,99,85.243,Peptococcus simiae
041f9801c0d15238353258e36122ed4e,NR_153710,5.45e-170,596,99,85.880,Peptococcus simiae
024e670f8be780a523fffe9eac21bda4,NR_153710,6.21e-163,572,98,85.156,Peptococcus simiae
46da20681d6dd50cd19eef9cd61586e5,NR_153710,9.85e-167,586,99,85.493,Peptococcus simiae
c322d94b551d120918fb9814371b807d,NR_153710,3.44e-166,583,98,85.575,Peptococcus simiae
3d7072c909bd27dae8bcd176bf999bf3,NR_153710,3.44e-166,583,98,85.575,Peptococcus simiae
6d39aca838630ee0c7910496061ed43c,NR_153710,2.32e-168,590,99,85.687,Peptococcus simiae
f93a3a96a21f84ae863421ea5145d4e7,NR_153710,2.32e-168,590,99,85.687,Peptococcus simiae
6355d870cd1976f07a18264c677304d2,NR_153710,1.46e-164,578,99,85.356,Peptococcus simiae
01831f3543f72c5ff6b097979eb4a460,NR_153710,2.82e-167,587,99,85.687,Peptococcus simiae
f7168ac36177cce4f5fda8dd307fd795,NR_153710,1.90e-169,594,99,85.687,Peptococcus simiae
d44b23d36c5050aeebceece01dd15478,NR_153710,2.82e-167,588,98,85.770,Peptococcus simiae
06be57efa8410cfa9b62b697ef7b17bb,NR_153710,1.90e-169,595,99,85.880,Peptococcus simiae
984ab9386e1d954730c9c25ec864b34a,NR_153710,6.63e-169,592,98,85.965,Peptococcus simiae
730338de868741097f24cbb78bc71656,NR_153710,4.47e-171,600,99,86.074,Peptococcus simiae
aa7b9d351cebdc99141b5017a855f604,NR_153710,4.78e-158,556,99,85.156,Peptococcus simiae
8cdec5008165b17e0c114e6e5602620b,NR_153710,8.08e-168,589,99,85.907,Peptococcus simiae
fad70909ad12d4f079b2aa84f20eb449,NR_153710,1.20e-165,582,99,85.549,Peptococcus simiae
5b6a277c899a0c56e37071abc3eb65d6,NR_153710,6.63e-169,593,99,85.907,Peptococcus simiae
ed12689b33631bbe2bb0d7cfd4640c54,NR_153710,1.90e-169,595,99,85.880,Peptococcus simiae
ecec33703a5ba29808276adda54b5fb7,NR_153710,2.82e-167,587,99,85.742,Peptococcus simiae
9dbffbad5dd84a58531c61fdc78f2795,NR_153710,6.21e-163,572,99,84.913,Peptococcus simiae
355a73be3ca815948d4d2eae7b964748,NR_153710,6.63e-169,593,99,85.907,Peptococcus simiae
0b6e4eee64e66d0519792deb1e604dba,NR_153710,6.63e-169,592,99,85.714,Peptococcus simiae
9de024e97e19232635c8b2d738cd1db5,NR_042961,2.65e-123,442,83,84.419,Alteracholeplasma parvum
fb6e579b300f7fd16c4cc7569b73ad24,NR_113411,0.0,651,80,95.411,Prevotella copri DSM 18205
6a22380dbff1b2c1bacd4bd27100f5ba,NR_043458,0.0,655,99,88.694,Neisseria animaloris
437c3063fdcc835ac7ba0560e86b645c,NR_157682,0.0,709,92,93.263,Peptoniphilus lacydonensis
1b3952099b14ce0d7531f4e8c7501709,NR_144729,0.0,889,98,99.016,Negativicoccus massiliensis
7cda771fb81525f0d6d317ea3b7d4676,NR_173566,0.0,677,95,91.002,Aureliella helgolandensis
db30505152a258ac83fa6429c69f41f2,NR_173553,9.21e-180,629,95,88.798,Tautonia plasticadhaerens
ab21bc9320423ed365644efee1bc2d7e,NR_118328,1.56e-151,535,80,88.916,Telmatocola sphagniphila
ffd07729f31666603f432620f0d1e60e,NR_041587,0.0,852,96,98.387,Lysobacter spongiicola
37297214e2d7b1e0318c1339d2c0afc1,NR_178333,0.0,865,98,98.031,Lysobacter pocheonensis
21f58f024137b7ef1e8920e55354f20e,NR_121739,0.0,924,99,100.000,Stenotrophomonas rhizophila
1a85d866804a6b8bb3f9c41c7438d594,NR_074936,0.0,915,99,99.609,Xanthomonas campestris
215fbe75af566ebc55535fa444e72bb0,NR_074936,0.0,920,99,99.805,Xanthomonas campestris
71218b2662e17b35fbfcbee7b7a3d469,NR_181111,0.0,920,99,99.805,Stenotrophomonas nematodicola
9f0e847fe5368263c21be79640f2cab0,NR_074936,0.0,920,99,99.805,Xanthomonas campestris
43697ea39fc69a31805e05e5d5243b17,NR_074936,0.0,886,99,98.833,Xanthomonas campestris
96f145b7ecb9f87306f95211fba045fe,NR_074936,0.0,920,99,99.805,Xanthomonas campestris
203070ff14e5a58b863faef0dc6a07d0,NR_074936,0.0,922,99,100.000,Xanthomonas campestris
f308f17524e366ae77e6e9775b2a62b2,NR_170433,0.0,848,99,96.863,Luteimonas chenhongjianii
8e90e2196a39013f8caac761f2e3824f,NR_074936,0.0,884,99,98.242,Xanthomonas campestris
d3c8d0a05b581066a81858c187060402,NR_179509,0.0,891,96,99.798,Stenotrophomonas lactitubi
8b91c2f1f988f58a6858e492f6ebb352,NR_179509,0.0,865,97,98.795,Stenotrophomonas lactitubi
5e71983a1f51962860ae67218d41c054,NR_179509,0.0,868,95,99.185,Stenotrophomonas lactitubi
e36a425cd69a957cc0dd2338ee67b350,NR_179509,0.0,873,96,98.992,Stenotrophomonas lactitubi
05a548625ee145d616357477aa474b83,NR_179509,0.0,868,96,98.790,Stenotrophomonas lactitubi
6dae3b82f53b24cb1cddf40b656d2b4f,NR_041577,0.0,870,99,98.043,Stenotrophomonas maltophilia
80334220f0665bbedfcf9199d239cdb5,NR_041577,0.0,914,99,99.804,Stenotrophomonas maltophilia
739f0754092e7bf549fa248420dc5b2b,NR_041577,0.0,893,99,99.022,Stenotrophomonas maltophilia
8f9748426c0fe72f962587560ad08ded,NR_041577,0.0,901,99,99.214,Stenotrophomonas maltophilia
a299cc7995ecc8106335a49b4d643349,NR_132712,7.58e-124,443,98,79.389,Pseudoxanthomonas jiangsuensis
d7edfeec5562b31af7de18f3a0831377,NR_041855,5.83e-119,427,97,79.151,Desulfovibrio vulgaris
e115a2067d29c06873c4c43583409a09,NR_113149,5.82e-157,554,96,84.950,Brevifollis gellanilyticus
e0d032b7a4555cb3863409705b459728,NR_025144,0.0,761,95,94.512,Simonsiella muelleri ATCC 29453
743895384e4bdfbe364a1d0bee3bac6d,NR_044873,0.0,643,84,93.103,Rothia mucilaginosa
59564af4c767bc4742b7b9311c3ea24b,NR_036956,0.0,909,100,99.029,Staphylococcus hominis
de43f4130084d15242899cbd66345852,NR_113114,0.0,765,99,93.372,Hoylesella nanceiensis
7472a2c7d032571ca03aff93880a94f0,NR_144750,4.77e-177,620,100,87.476,Prevotellamassilia timonensis
ace2625aad398a585801974c64f4c480,NR_113094,0.0,892,99,98.830,Prevotella baroniae
ace2625aad398a585801974c64f4c480,NR_113094,1.3,33.7,99,100.000,Prevotella baroniae
6621aa4a4bea19b74d27efdcfb6eef97,NR_102895,0.0,888,99,98.835,Prevotella melaninogenica ATCC 25845
aaef2e7154fdc4aaa0dca653216e80c3,NR_024816,0.0,819,99,95.882,Prevotella salivae
59cbba2b1c790baf1a17e4af6ba8f49e,NR_102895,0.0,891,99,98.635,Prevotella melaninogenica ATCC 25845
c6a88b6f9b4e6307628446e133f3f0d6,NR_144750,0.0,670,99,89.494,Prevotellamassilia timonensis
4d02c684575e711a2899926a5a5e2b2b,NR_102895,0.0,915,99,99.611,Prevotella melaninogenica ATCC 25845
8fddcc92389143281cfd184273f413b5,NR_113077,0.0,871,97,98.600,Paraprevotella clara
50fb5cafe353dbcd4f281026780e01af,NR_113077,0.0,869,97,98.603,Paraprevotella clara
e1cc0ffd42a78c23a7c5e01eca3cf6dc,NR_025300,1.56e-170,599,98,86.355,Prevotella albensis
78b29c6d847e366587f86dca00f45038,NR_040866,0.0,815,98,95.850,Bacteroides uniformis
5dce814a0af11eccde329b3cdcfcf508,NR_113077,0.0,875,97,98.800,Paraprevotella clara
1d78ca78d261e39e86a3978d6030b440,NR_113077,0.0,864,97,98.600,Paraprevotella clara
e0f8bec6b36495cd0ed0306d50573f1d,NR_113411,0.0,812,99,95.312,Prevotella copri DSM 18205
6dc44753d4a115f648515a97da6acef7,NR_113077,0.0,875,97,98.800,Paraprevotella clara
1f36b1b0b6f863450f4fd51258d5bde4,NR_024665,0.0,653,88,92.274,Staphylococcus caprae
bcf51211afb0e6e63fc45f213fda5b70,NR_113077,0.0,884,97,99.200,Paraprevotella clara
becad88d2da225858b931559e915df94,NR_113077,0.0,871,97,98.600,Paraprevotella clara
42986691c106166c57079353a046b429,NR_113077,0.0,857,97,98.403,Paraprevotella clara
213fd681177c4f641570fc810a930349,NR_113077,0.0,880,97,99.000,Paraprevotella clara
738f5db45a7e49ec293e13a50fed1dd3,NR_113077,0.0,880,97,99.000,Paraprevotella clara
c0ae73bd1febd9b21183bd65c4a56181,NR_113077,0.0,849,97,97.800,Paraprevotella clara
2f4675b386a898817a469c8268d39e2b,NR_113077,0.0,864,97,98.600,Paraprevotella clara
72daab11fa77904684e45c573ba06acb,NR_113077,0.0,872,97,98.800,Paraprevotella clara
47c9f3180e7c2989b6c9bab6a832e784,NR_113077,0.0,854,97,98.000,Paraprevotella clara
aed39d674dfd1d2c403ec3f43cf61895,NR_113077,0.0,849,97,97.800,Paraprevotella clara
bf29a8a60269c67ef2f4fa95569bf311,NR_113077,0.0,841,97,97.600,Paraprevotella clara
11742322491d9a21d709d3567ac2e79a,NR_040866,0.0,824,98,96.245,Bacteroides uniformis
875b2fa8836e01bfc2ea24d863c6c9ef,NR_040866,0.0,824,98,96.245,Bacteroides uniformis
3a6aa1eb672609e9524784d51fc33e76,NR_074277,0.0,784,99,93.981,Bacteroides thetaiotaomicron
d0c0d7f45df509aaa9da58b98cadc0d3,NR_074277,0.0,846,99,96.673,Bacteroides thetaiotaomicron
e1320e015faeee067e660115621f8e59,NR_112943,0.0,829,97,96.982,Bacteroides stercoris ATCC 43183
ac6aaf6e51fad5078b2100a1a67e4d04,NR_112932,0.0,824,97,96.593,Bacteroides caccae
8aab9a8153a562ba5373e40e926b0714,NR_112943,0.0,829,97,96.982,Bacteroides stercoris ATCC 43183
c69360dbfacfa9904f34d473aab0d987,NR_113077,0.0,867,97,98.600,Paraprevotella clara
fde7464e80d0a715cc8e22f0e24033a7,NR_113077,0.0,861,97,98.403,Paraprevotella clara
81066a943660ce345fb0ad595f3b6cb5,NR_113077,0.0,867,97,98.600,Paraprevotella clara
9281ce30f20542e143799900f6c2b512,NR_113077,0.0,861,97,98.403,Paraprevotella clara
67cbbc033a1b4565e1ae53182135dc19,NR_113077,0.0,875,97,98.800,Paraprevotella clara
501ed3cdac8db57ceb5e03d71cc8e912,NR_113077,0.0,875,97,98.800,Paraprevotella clara
85b10d228e03419b9be661e2dcc4eb64,NR_113077,0.0,851,97,98.200,Paraprevotella clara
8e1f55356511dc425761a3d35a452d79,NR_113077,0.0,876,97,99.000,Paraprevotella clara
0faa8399a357e0a8137a0bf6f994158f,NR_113077,0.0,867,97,98.600,Paraprevotella clara
362fa2ab4590ffa45218b98491b868eb,NR_113077,0.0,867,97,98.600,Paraprevotella clara
70d53fa00e6916f5cd83de23f8ff6a77,NR_113077,0.0,859,97,98.400,Paraprevotella clara
b94a3c1641bff296eda1010e2734392e,NR_113411,0.0,825,99,95.703,Prevotella copri DSM 18205
aaea55ed990ead934128844c5b76941a,NR_113411,0.0,812,99,95.312,Prevotella copri DSM 18205
1012e3097bbab6418cf6fef046017781,NR_113077,0.0,864,97,98.600,Paraprevotella clara
2d782a271b2116f9d56528f4ca7014ec,NR_113077,0.0,889,97,99.400,Paraprevotella clara
24b95ea73ff867c0bb29cc2f83da05d5,NR_113077,0.0,818,97,96.400,Paraprevotella clara
d02eacbefe27326a74371d1008750349,NR_113077,0.0,798,96,96.000,Paraprevotella clara
f9a2a187642eb176406c35482bb80081,NR_113077,0.0,814,97,96.400,Paraprevotella clara
088b8ffd0b138deb0c2d4a4035a0af19,NR_042745,0.0,810,99,95.285,Phocaeicola massiliensis
14154eb34f434f5a142e79a663a54ecc,NR_113077,0.0,866,97,98.400,Paraprevotella clara
5304037596593019455fad75ac934640,NR_113077,0.0,848,97,97.600,Paraprevotella clara
8345b609dd425db7377a30832f28b4b8,NR_113078,0.0,916,99,99.804,Paraprevotella xylaniphila
bb2b605c61cde66ac0f88904752affc8,NR_112933,0.0,847,98,97.233,Bacteroides cellulosilyticus
b9391766e28681c39c910fd3405c387a,NR_040866,0.0,714,98,91.519,Bacteroides uniformis
58ab408bdc42e18eeae91d069a3f0b5b,NR_113152,4.77e-177,620,99,87.280,Alistipes putredinis
f170cecc71d29ab57ad60ef948f97369,NR_112943,0.0,762,97,93.964,Bacteroides stercoris ATCC 43183
c1e37cde42316c18a9ec787de96c53e7,NR_102944,0.0,751,98,93.504,Alistipes finegoldii
d4636d2a71c4309fbf3529dcc716089f,NR_102895,0.0,900,99,99.025,Prevotella melaninogenica ATCC 25845
55106baef8a238a21d8b60cc4bf8cab5,NR_144750,0.0,650,99,88.694,Prevotellamassilia timonensis
39fdd907fc6e72e3c410f0324205501a,NR_102895,0.0,901,100,99.223,Prevotella melaninogenica ATCC 25845
bbb8e05f518bf6dcbc2c676929797225,NR_113108,0.0,867,99,97.843,Hoylesella loescheii
6cef4b8b0885a70fa18af499c86072f0,NR_144750,0.0,673,99,89.669,Prevotellamassilia timonensis
81bc059166c0b2033b54def46ddce40d,NR_144750,1.67e-176,618,99,87.597,Prevotellamassilia timonensis
50c311555bd027711e992cbe68231bdf,NR_102895,0.0,901,99,99.223,Prevotella melaninogenica ATCC 25845
54d4a3cb8efa77ae8959e041eedd0eaf,NR_102895,0.0,904,100,99.223,Prevotella melaninogenica ATCC 25845
e80576a68ae3e9143cb8f45a790028e6,NR_180829,0.0,645,99,88.327,Hallella mizrahii
157c22dd12e9d2e5e4e327112cfd4bb9,NR_180829,0.0,649,99,88.327,Hallella mizrahii
ff9f56c8076010e7332abe5e56514645,NR_180829,0.0,654,99,88.521,Hallella mizrahii
42115175a971ec6d85e7997fcd0d712d,NR_175509,0.0,644,99,88.327,Prevotella vespertina
98ecb57d371114ade8bbb25c9b371f3d,NR_044628,0.0,887,99,98.242,Prevotella oris
32936e544018b80d26ce9904cde628fc,NR_113098,0.0,853,99,97.059,Hoylesella buccalis
c56394ff9b41f28f5f26c2742c7740ae,NR_113098,0.0,853,99,97.059,Hoylesella buccalis
bc742ae34b81f7df3b4d620ead8bdc4a,NR_113098,0.0,849,99,97.059,Hoylesella buccalis
bd79ceee72866c8cd94365b9a503a5ff,NR_113411,0.0,884,99,98.242,Prevotella copri DSM 18205
6ab57971c6f4bfebf315b097e3e308b0,NR_113411,0.0,875,99,98.047,Prevotella copri DSM 18205
b8f35417edaf170593641a9258adb0b1,NR_113411,0.0,875,99,98.047,Prevotella copri DSM 18205
a974a184e48c6c3e5f782539a8ddbb97,NR_113411,0.0,848,99,96.887,Prevotella copri DSM 18205
b77e229d9bb316737e268a45588c9fc8,NR_113411,0.0,856,99,97.070,Prevotella copri DSM 18205
a034dfb2014385718c2ee1a46d0b9925,NR_147404,0.0,792,99,94.347,Massiliprevotella massiliensis
c7cdabfba5991aaf86319cf0e53160be,NR_113411,0.0,876,99,98.228,Prevotella copri DSM 18205
b53d133842221feda641da57376be9c6,NR_113411,0.0,881,99,98.425,Prevotella copri DSM 18205
ba93161e30c54845092485ce5b6d8ebe,NR_113411,0.0,869,98,98.214,Prevotella copri DSM 18205
9d2c504dc7cb354ed56adc2742609e60,NR_113411,0.0,861,99,97.266,Prevotella copri DSM 18205
4f37206ffdc30bcd86f15183253d92f7,NR_180452,0.0,847,96,97.967,Prevotella hominis
fed4e361514b1744f512216fd8bad355,NR_180452,0.0,845,96,97.972,Prevotella hominis
98ce98ed244292351b85cc4308518925,NR_113411,0.0,884,99,98.242,Prevotella copri DSM 18205
8ea50158d281909569ba43a7456fe446,NR_113411,0.0,847,99,96.881,Prevotella copri DSM 18205
e8c5b04581aa9973de1d94aba67bf63a,NR_113411,0.0,879,99,98.047,Prevotella copri DSM 18205
61d0e21f20e98a6c865a62086bb9b1d6,NR_113411,0.0,861,99,97.266,Prevotella copri DSM 18205
a6ee3fd166299e6daea6a325810bf37b,NR_113411,0.0,888,99,98.438,Prevotella copri DSM 18205
3345759126131279b26ab055506121bf,NR_113411,0.0,884,99,98.242,Prevotella copri DSM 18205
f288ae1b0a06caaf0b839fbb23878960,NR_113411,0.0,859,99,97.271,Prevotella copri DSM 18205
db0a61f614d901f9d42786803d31d4ba,NR_113411,0.0,888,99,98.438,Prevotella copri DSM 18205
c93fb25e88e9ed9c2f79fd457d30a5ee,NR_112945,0.0,823,97,96.787,Bacteroides uniformis
09d0d4c8ec54e04090386d9c512e54a0,NR_113411,0.0,890,99,98.819,Prevotella copri DSM 18205
cc61c237b506cca8a4d6b30674c7652d,NR_112947,0.0,771,97,94.366,Bacteroides xylanisolvens XB1A
0f0237efaebab8935fbcdc2b99502d67,NR_169358,0.0,717,98,91.552,Butyricimonas phoceensis
6528a3b228c6515153307f6ce4a16426,NR_074784,0.0,787,99,94.912,Bacteroides fragilis NCTC 9343
5a36a71b0c1f883e95b0e9e31ef08047,NR_102944,0.0,744,85,97.712,Alistipes finegoldii
31f9bd9413332e01dcac621bfcf5e244,NR_113411,0.0,899,99,99.213,Prevotella copri DSM 18205
b6a2a6941f5b7ca31bee2bc9938fbd33,NR_113411,0.0,893,99,99.018,Prevotella copri DSM 18205
4df93885db6c706ac94a51beeccd3efa,NR_074577,1.28e-171,602,98,86.837,Paludibacter propionicigenes WB4
d9c297320d58747ddf2024c874e4c4e3,NR_024815,0.0,779,98,93.933,Hoylesella shahii
491d885498eaad520f18d5cae424ab69,NR_026417,9.23e-142,502,68,97.627,Prevotella pallens
491d885498eaad520f18d5cae424ab69,NR_026417,0.37,35.6,68,75.000,Prevotella pallens
f06bc538a6a20f999bf77c59e061c8b1,NR_041541,0.0,868,97,98.800,Hoylesella pleuritidis
a2a066d4f71c7bdf273dca7b655d06c9,NR_102895,0.0,865,99,97.287,Prevotella melaninogenica ATCC 25845
1cee505dbcf84ebcb9c2a7b2b21077fb,NR_113117,0.0,821,100,95.736,Prevotella oralis ATCC 33269
a15cf92517ade77fd3f8f2c720b126f0,NR_041541,0.0,890,97,99.598,Hoylesella pleuritidis
28f8aa6cd1f8ff056dc0e96d5879dcea,NR_041541,0.0,885,97,99.398,Hoylesella pleuritidis
71947f316500710b8d105cd885bb6523,NR_041541,0.0,890,97,99.598,Hoylesella pleuritidis
6c284d77b0c5e8efbe12f4412e956617,NR_041541,0.0,876,97,98.996,Hoylesella pleuritidis
e4e0c2aad01ba5308466a88d818b4fea,NR_041541,0.0,886,97,99.598,Hoylesella pleuritidis
51bfd0c15d96a232750cd29beca6a741,NR_041541,0.0,890,97,99.598,Hoylesella pleuritidis
633e1021f80d76d7860a5575caab2753,NR_041541,0.0,888,97,99.599,Hoylesella pleuritidis
54991dca198d8d0f674829d6b6d90fe0,NR_041541,0.0,875,97,99.198,Hoylesella pleuritidis
1bfa8bfbc0d71eaa2b94dd0b60d64a45,NR_041541,0.0,867,97,98.594,Hoylesella pleuritidis
affdf690258d8fa1cb56b29b136d7fbd,NR_041541,0.0,877,97,99.197,Hoylesella pleuritidis
5e76938566f9437aaec04c759fc7aba9,NR_041541,0.0,885,97,99.398,Hoylesella pleuritidis
436b28bdfe459926e3b7e381cd6b910c,NR_041541,0.0,882,97,99.400,Hoylesella pleuritidis
5dcc555cd881649f79411a40bb9eee16,NR_041541,0.0,885,97,99.398,Hoylesella pleuritidis
a871be390304ab92bdfef2b79458b855,NR_102895,0.0,827,99,95.745,Prevotella melaninogenica ATCC 25845
e03e414dd8e4a15c71e8b29f19485588,NR_113116,0.0,816,97,96.393,Prevotella nigrescens
a6e929a8ce72b2c7a49c520323b95655,NR_041541,0.0,885,97,99.398,Hoylesella pleuritidis
5cf1e7dacaade5e52cbee279d689fc30,NR_041541,0.0,870,97,98.798,Hoylesella pleuritidis
393bc42b686d2a571e45c4417cecf94a,NR_041541,0.0,884,97,99.399,Hoylesella pleuritidis
2e247fd4eefc03b4617b646096ffb6c0,NR_041541,0.0,885,97,99.398,Hoylesella pleuritidis
4a4eb1f27813da9e9648cd0d9aa4e3e9,NR_041541,0.0,876,97,98.996,Hoylesella pleuritidis
2e5b6eb74a82d827927f464bd19600a0,NR_041541,0.0,876,97,98.996,Hoylesella pleuritidis
aee49b47fdeb87470cf0a8fc1d2e94bf,NR_041541,0.0,861,97,98.805,Hoylesella pleuritidis
ae797bdafe74e44e4908d66e9cdc47e5,NR_024815,0.0,710,98,91.211,Hoylesella shahii
f5ed924aa967454140c35e3d3351d4fd,NR_113120,0.0,666,99,89.041,Prevotella oulorum
209eaec1791d0b864d396f4297435baf,NR_113096,0.0,669,99,89.216,Prevotella bivia
33003d7ee342c751b171d3207d038b47,NR_029147,0.0,714,99,91.245,Prevotella oulorum
c29be934c110a15082117b29ad330ba6,NR_113120,0.0,862,99,97.661,Prevotella oulorum
546d22c37bf26fee32622e73f3a0763b,NR_113116,0.0,829,97,96.794,Prevotella nigrescens
9c9c13d0a296f1cd14b3c0e87b8d68ca,NR_113108,0.0,774,99,93.738,Hoylesella loescheii
ff2c56dc21915b14bbd0bbdf11ffd2d4,NR_029147,0.0,820,99,95.906,Prevotella oulorum
bd90542a40f199d3411cb25368137be6,NR_029147,0.0,819,99,95.914,Prevotella oulorum
07c75ce28df8340c8edb24b72613cd12,NR_029147,0.0,825,99,96.101,Prevotella oulorum
bf66004e7e820e31124ddbeabc6e0a47,NR_029147,0.0,825,99,96.101,Prevotella oulorum
4fed96a28a64eff7ae774b27512d11c5,NR_029147,0.0,817,99,95.906,Prevotella oulorum
5a83a926a8f9fbaaf4361a8aea54d3b8,NR_029147,0.0,819,99,95.914,Prevotella oulorum
e3d28ba4d2cc0315f0ac9fcd67b1050d,NR_029147,0.0,819,99,95.914,Prevotella oulorum
e69b87b96383f20e901065d4c9105584,NR_029147,0.0,820,99,95.906,Prevotella oulorum
9ad22561e18e57a8d592b34843b88312,NR_113096,0.0,823,100,96.911,Prevotella bivia
64a96f26b93e084221e6cc434c5614a3,NR_113096,0.0,910,99,99.609,Prevotella bivia
da7513a535258720adf42a0f9aa3758d,NR_113096,0.0,916,99,99.804,Prevotella bivia
34efa05e3b0714480e9509f5c548a237,NR_113096,0.0,725,81,98.804,Prevotella bivia
6a0c825d443e974b8c9c6bdcd38e3878,NR_113123,0.0,848,99,96.863,Prevotella timonensis 4401737 = DSM 22865 = JCM 15640
3b6243ce6984ed546745ebddbf3d7b77,NR_113096,0.0,911,99,99.608,Prevotella bivia
